	sample.name	Sample.Name	Protocol.REF_x	Parameter.Value.Post.Extraction.	Parameter.Value.Derivatization.	Extract.Name	Protocol.REF.1	Parameter.Value.Chromatography.Instrument.	Term.Source.REF_x	Term.Accession.Number_x	Parameter.Value.Column.model.	Parameter.Value.Column.type.	Labeled.Extract.Name	Label	Term.Source.REF.1_x	Term.Accession.Number.1_x	Protocol.REF.2	Parameter.Value.Scan.polarity.	Parameter.Value.Scan.m.z.range.	Parameter.Value.Instrument.	Term.Source.REF.2_x	Term.Accession.Number.2_x	Parameter.Value.Ion.source.	Term.Source.REF.3_x	Term.Accession.Number.3_x	Parameter.Value.Mass.analyzer.	Term.Source.REF.4_x	Term.Accession.Number.4_x	MS.Assay.Name	Raw.Spectral.Data.File	Protocol.REF.3	Normalization.Name	Derived.Spectral.Data.File	Protocol.REF.4	Data.Transformation.Name	Metabolite.Assignment.File	Source.Name	Characteristics.Organism.	Term.Source.REF_y	Term.Accession.Number_y	Characteristics.Variant.	Term.Source.REF.1_y	Term.Accession.Number.1_y	Characteristics.Organism.part.	Term.Source.REF.2_y	Term.Accession.Number.2_y	Protocol.REF_y	Factor.Value.feeding.	Term.Source.REF.3_y	Term.Accession.Number.3_y	Factor.Value.tissue.source.	Term.Source.REF.4_y	Term.Accession.Number.4_y	Factor.Value.genotype.	Term.Source.REF.5	Term.Accession.Number.5	Factor.Value.replicate.	Term.Source.REF.6	Term.Accession.Number.6
0	SRC.1....Fed_rep1_liver	SRC-1-/- Fed_rep1_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1-/- Fed_rep1_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src1 knockout			1		
1	SRC.1....Fed_rep2_liver	SRC-1-/- Fed_rep2_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1-/- Fed_rep2_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src1 knockout			2		
2	SRC.1....Fed_rep3_liver	SRC-1-/- Fed_rep3_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1-/- Fed_rep3_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src1 knockout			3		
3	SRC.1....Fed_rep4_liver	SRC-1-/- Fed_rep4_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1-/- Fed_rep4_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src1 knockout			4		
4	SRC.1....Fed_rep5_liver	SRC-1-/- Fed_rep5_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1-/- Fed_rep5_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src1 knockout			5		
5	SRC.1....Fasted_rep1_liver	SRC-1-/- Fasted_rep1_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1-/- Fasted_rep1_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src1 knockout			1		
6	SRC.1....Fasted_rep2_liver	SRC-1-/- Fasted_rep2_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1-/- Fasted_rep2_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src1 knockout			2		
7	SRC.1....Fasted_rep3_liver	SRC-1-/- Fasted_rep3_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1-/- Fasted_rep3_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src1 knockout			3		
8	SRC.1....Fasted_rep4_liver	SRC-1-/- Fasted_rep4_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1-/- Fasted_rep4_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src1 knockout			4		
9	SRC.1....Fasted_rep5_liver	SRC-1-/- Fasted_rep5_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1-/- Fasted_rep5_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src1 knockout			5		
10	SRC.1....Fed_rep1_liver.1	SRC-1+/+ Fed_rep1_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1+/+ Fed_rep1_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src1 wild-type			1		
11	SRC.1....Fed_rep2_liver.1	SRC-1+/+ Fed_rep2_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1+/+ Fed_rep2_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src1 wild-type			2		
12	SRC.1....Fed_rep3_liver.1	SRC-1+/+ Fed_rep3_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1+/+ Fed_rep3_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src1 wild-type			3		
13	SRC.1....Fed_rep4_liver.1	SRC-1+/+ Fed_rep4_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1+/+ Fed_rep4_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src1 wild-type			4		
14	SRC.1....Fed_rep5_liver.1	SRC-1+/+ Fed_rep5_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1+/+ Fed_rep5_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src1 wild-type			5		
15	SRC.1....Fasted_rep1_liver.1	SRC-1+/+ Fasted_rep1_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1+/+ Fasted_rep1_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src1 wild-type			1		
16	SRC.1....Fasted_rep2_liver.1	SRC-1+/+ Fasted_rep2_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1+/+ Fasted_rep2_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src1 wild-type			2		
17	SRC.1....Fasted_rep3_liver.1	SRC-1+/+ Fasted_rep3_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1+/+ Fasted_rep3_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src1 wild-type			3		
18	SRC.1....Fasted_rep4_liver.1	SRC-1+/+ Fasted_rep4_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1+/+ Fasted_rep4_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src1 wild-type			4		
19	SRC.1....Fasted_rep5_liver.1	SRC-1+/+ Fasted_rep5_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1+/+ Fasted_rep5_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src1 wild-type			5		
20	SRC.2....Fed_rep1_liver	SRC-2-/- Fed_rep1_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-2-/- Fed_rep1_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src2 knockout			1		
